Rank,Stage,Name,Score
647,江山赛区,hw79119866,'4.0456
648,京津东赛区,hw335188,'4.0583
649,京津东赛区,lcy796796,'4.0755
650,上合赛区,同济第一交通委队,'4.1359
651,西北赛区,hw97836021,'4.1873
652,西北赛区,没有人比我更懂药水哥,'4.1878
653,京津东赛区,Auto-BIT,'4.1901
654,西北赛区,塞外鱼米乡,'4.2028
655,杭厦赛区,hw62569687,'4.2041
656,杭厦赛区,pobin,'4.2228
657,江山赛区,辰湖,'4.2251
658,西北赛区,yrr123456,'4.2345
659,成渝赛区,篮网总冠军,'4.2372
660,京津东赛区,98k,'4.2452
661,京津东赛区,hw84748906,'4.2709
662,成渝赛区,hw55849069,'4.2916
663,成渝赛区,hw38866491,'4.3079
664,西北赛区,叹一句当时只道是寻常,'4.3177
665,江山赛区,老周很强,'4.3316
666,杭厦赛区,斐波那契数列,'4.3828
667,杭厦赛区,hw74356552,'4.4018
668,成渝赛区,你的月亮我的心,'4.4185
669,京津东赛区,DMU20200305,'4.4366
670,杭厦赛区,hw20331507,'4.4413
671,成渝赛区,摸爬滚打学编程,'4.4561
672,成渝赛区,我也没想法,'4.458
673,江山赛区,hw68932494,'4.4608
674,成渝赛区,aweijx,'4.4866
675,京津东赛区,hw43782227,'4.5228
676,成渝赛区,hw73788528,'4.5322
677,江山赛区,cqq2020,'4.5647
678,上合赛区,hzd0328,'4.573
679,成渝赛区,LiberBin,'4.5892
680,上合赛区,no_bug,less_time,'4.6012
681,武长赛区,给大佬们献上一杯卡布奇诺,'4.6363
682,成渝赛区,123zcc,'4.6532
683,西北赛区,A_Z_T_,'4.664
684,成渝赛区,我太菜了,'4.6788
685,上合赛区,hasaki,'4.6929
686,京津东赛区,不慌我吃口药,'4.6971
687,武长赛区,没想好叫啥的咸鱼,'4.6993
688,西北赛区,莽就完事儿,'4.7259
689,上合赛区,guofyun,'4.7286
690,江山赛区,CCWUCMCTS,'4.7435
691,武长赛区,聪聪忙忙,'4.7714
692,成渝赛区,shang949260,'4.805
693,粤港澳赛区,哈咯,'4.8121
694,江山赛区,霁霓太美,'4.8296
695,武长赛区,hw47005954,'4.8352
696,成渝赛区,czson,'4.8514
697,上合赛区,匿名,'4.8531
698,上合赛区,喵喵叹气,'4.8713
699,成渝赛区,南山泉水鸡,'4.8717
700,西北赛区,kakuoo,'4.8833
701,西北赛区,hw97728648,'4.8939
702,江山赛区,hw0001,'4.8955
703,西北赛区,hw45405501,'4.8995
704,成渝赛区,湖人总冠军,'4.9202
705,上合赛区,hw28234889,'4.9283
706,上合赛区,hw10050129,'4.9535
707,西北赛区,hw43989645,'4.9674
708,京津东赛区,r3o7b2,'4.9752
709,粤港澳赛区,终于有分了,'4.9785
710,西北赛区,smalkang,'4.9814
711,杭厦赛区,WH_Fly,'4.9839
712,西北赛区,donghhh,'4.9897
713,武长赛区,hw48023222,'5.0248
714,上合赛区,hw36276357,'5.0527
715,上合赛区,薇鹅莉特,'5.0615
716,西北赛区,xidian_zhs,'5.07
717,西北赛区,hw13230034,'5.0776
718,西北赛区,美丽北大荒,'5.0929
719,成渝赛区,Little_squirrel_writing_code,'5.1076
720,成渝赛区,hw54203167,'5.1098
721,杭厦赛区,hw93352096,'5.112
722,江山赛区,Tsunaou,'5.15
723,成渝赛区,yczlab,'5.1504
724,杭厦赛区,water0627,'5.1547
725,西北赛区,星尘远征军,'5.1599
726,成渝赛区,LLAmber,'5.1669
727,京津东赛区,hw02849838,'5.1936
728,京津东赛区,hw11425609,'5.2076
729,杭厦赛区,aaaa,'5.2237
730,西北赛区,hw61286547,'5.2299
731,武长赛区,jodan_luo,'5.2449
732,江山赛区,Human Learning,'5.2597
733,粤港澳赛区,wr_8040,'5.2667
734,上合赛区,hw20785000,'5.271
735,上合赛区,jamlke,'5.288
736,上合赛区,hw15114726,'5.2987
737,西北赛区,hw59059868,'5.3234
738,西北赛区,hw99362153,'5.3555
739,武长赛区,2233在哪里,'5.3664
740,杭厦赛区,hw18274874,'5.3835
741,京津东赛区,hw28412572,'5.3868
742,江山赛区,发量惊人,'5.4176
743,成渝赛区,小松鼠来敲代码呀,'5.4295
744,西北赛区,tamlovincy,'5.446
745,杭厦赛区,ANT,'5.5113
746,成渝赛区,hw53636925,'5.5273
747,西北赛区,hty_xjtu,'5.5494
748,成渝赛区,WYFXJHW,'5.588
749,武长赛区,求组队,'5.613
750,成渝赛区,hw22835227,'5.6168
751,西北赛区,hw91595297,'5.6295
752,江山赛区,黑鸭黑鸭,'5.634
753,粤港澳赛区,Arrow,'5.6396
754,上合赛区,梦付千秋星垂野,'5.6585
755,江山赛区,O(n),'5.6619
756,江山赛区,hw08786912,'5.6796
757,粤港澳赛区,tx_clarklin,'5.6866
758,武长赛区,武理取闹两憨批,'5.6959
759,上合赛区,JAVAer不配拥有姓名吗,'5.7088
760,江山赛区,工作细胞,'5.7169
761,成渝赛区,风暴龙王降临 决战开始,'5.7506
762,武长赛区,终于等到你,'5.7518
763,杭厦赛区,hw58326981,'5.7639
764,江山赛区,hw26807682,'5.768
765,上合赛区,TzT_tztztz,'5.769
766,杭厦赛区,Csn1889,'5.78
767,杭厦赛区,hw10126301,'5.784
768,成渝赛区,hw55841801,'5.7915
769,江山赛区,伏地魔,'5.8176
770,京津东赛区,zzz,'5.818
771,江山赛区,嘿嘿嘿,'5.8181
772,江山赛区,我就写Java,'5.8352
773,杭厦赛区,中华民族不畏新冠,'5.8355
774,京津东赛区,关灯吃面,'5.8452
775,京津东赛区,肉蛋葱鸡,'5.8477
776,杭厦赛区,菜鸡,'5.8626
777,西北赛区,hw09054337,'5.868
778,江山赛区,蛋炒饭,'5.8781
779,武长赛区,hw57490158,'5.8866
780,西北赛区,神厨小福贵,'5.9239
781,京津东赛区,DQ9999,'5.9259
782,江山赛区,不太会打加一队,'5.927
783,成渝赛区,hw07883901,'5.9397
784,杭厦赛区,菜比联盟冲鸭,'5.9444
785,武长赛区,uestc_ccz,'5.9607
786,成渝赛区,请输入新的团队名称,'5.9644
787,西北赛区,uestc_ccz,'5.9786
788,粤港澳赛区,只会BF怎么办,'5.9799
789,成渝赛区,upsoar,'5.9851
790,京津东赛区,hw27363490,'5.988
791,成渝赛区,DoreenLing,'6.0011
792,西北赛区,上上下下左右左右BABA,'6.0979
793,粤港澳赛区,么么么,'6.1074
794,江山赛区,药水哥队,'6.1694
795,粤港澳赛区,yesILoveJoyce,'6.184
796,江山赛区,dwtenis,'6.1851
797,上合赛区,11号公寓的男孩们,'6.2576
798,西北赛区,hw02849838,'6.2671
799,江山赛区,HMM,'6.2994
800,杭厦赛区,dwtenis,'6.303
801,杭厦赛区,鲲之大一锅炖不下,'6.3204
802,上合赛区,chegnice,'6.3487
803,西北赛区,ruidada,'6.4055
804,上合赛区,yhchen,'6.4191
805,武长赛区,dwtenis,'6.4547
806,上合赛区,划水1号,'6.5016
807,杭厦赛区,mkt_7489_9109,'6.5088
808,京津东赛区,迪丽热巴哥,'6.5454
809,上合赛区,hw56900781,'6.5809
810,成渝赛区,hw53551693,'6.5944
811,西北赛区,hw89231531,'6.6137
812,海外赛区,树上的鸟儿成双队,'6.6249
813,粤港澳赛区,sunxiangjun,'6.6708
814,西北赛区,小猫咪你为什么总是脱毛,'6.6896
815,京津东赛区,三人行,'6.6973
816,上合赛区,华为手机是我们的！吗,'6.7021
817,上合赛区,fengww,'6.7241
818,上合赛区,Nanase_,'6.7393
819,西北赛区,hw02559310,'6.8066
820,京津东赛区,blindhakoton,'6.8125
821,上合赛区,hw81481076,'6.8233
822,上合赛区,HFZhang,'6.836
823,西北赛区,hw17736998,'6.8394
824,江山赛区,蜜桃猫,'6.8504
825,江山赛区,酱油一波,'6.8819
826,粤港澳赛区,iammai,'6.8819
827,江山赛区,hw81711833,'6.8968
828,江山赛区,boovn,'6.8985
829,成渝赛区,hw91346810,'6.9008
830,成渝赛区,2020中国加油,'6.9362
831,西北赛区,Creammmmm,'6.9563
832,京津东赛区,hw95661442,'6.9566
833,武长赛区,天天向上,'6.971
834,江山赛区,玄学调优中,'6.9804
835,成渝赛区,咸鱼队,'7.0033
836,成渝赛区,hw13860832,'7.0199
837,武长赛区,您吃了吗,'7.0246
838,西北赛区,hw72079692,'7.0374
839,粤港澳赛区,hw02849838,'7.0408
840,江山赛区,hw67398159,'7.0463
841,上合赛区,小鱼天上飞,'7.0737
842,成渝赛区,hw15378795,'7.1094
843,西北赛区,void,'7.1144
844,京津东赛区,hw56315619,'7.1228
845,粤港澳赛区,ICY2INVINCIBLE,'7.1383
846,杭厦赛区,hw69129214,'7.174
847,成渝赛区,咸鱼池的咸鱼,'7.199
848,杭厦赛区,Cyuanhhhhhh,'7.2234
849,西北赛区,伞兵三号已就位,'7.2401
850,江山赛区,ok兄弟会,'7.2743
851,西北赛区,干就完事了,'7.3169
852,京津东赛区,guanph001,'7.3306
853,西北赛区,hw71074398,'7.3391
854,上合赛区,杨正宗,'7.3392
855,武长赛区,怼字念队,'7.3459
856,上合赛区,xzdDong,'7.3743
857,江山赛区,LucasHou,'7.382
858,杭厦赛区,YaoYee,'7.4381
859,上合赛区,hw91811502,'7.4828
860,成渝赛区,hw02411102,'7.485
861,成渝赛区,hw02411102,'7.485
862,成渝赛区,CQUPT_sql,'7.4922
863,成渝赛区,CQUPT_sql,'7.4922
864,杭厦赛区,甄甄,'7.5363
865,杭厦赛区,hw53303574,'7.5368
866,上合赛区,小朋友你是否有很多问号,'7.5717
867,成渝赛区,Tymon,'7.5739
868,成渝赛区,Tymon,'7.5739
869,武长赛区,疾风剑豪之狂风绝息斩,'7.5822
870,上合赛区,hw34935364,'7.6348
871,武长赛区,德玛西亚皇子之巨龙撞击,'7.6384
872,武长赛区,hw47779841,'7.6418
873,海外赛区,-1s,'7.7069
874,西北赛区,Terry_1iu,'7.7656
875,武长赛区,useless,'7.7821
876,上合赛区,hw96116808,'7.7936
877,上合赛区,膜法赐我力量,'7.8162
878,西北赛区,二营长，把你他娘的意大利泡面拿出来,'7.8497
879,京津东赛区,CLANNAD,'7.8525
880,京津东赛区,hw88261139,'7.8641
881,杭厦赛区,wyh2dxh,'7.8676
882,上合赛区,hw39070211,'7.8894
883,成渝赛区,learning_BORA,'7.9165
884,成渝赛区,learning_BORA,'7.9165
885,上合赛区,hw25303207,'7.9295
886,上合赛区,冲,'7.9372
887,上合赛区,hw55222053,'7.9593
888,京津东赛区,sigsers,'7.9615
889,江山赛区,yyyyhhhh,'8.0036
890,成渝赛区,hw52268800,'8.0067
891,粤港澳赛区,三杯弄剑,'8.0505
892,京津东赛区,鱼蛋蛋,'8.0549
893,成渝赛区,Kaiju,'8.0769
894,粤港澳赛区,hw54190270,'8.1037
895,江山赛区,今世进士尽是近视,'8.1537
896,粤港澳赛区,风中孤独的一匹狗,'8.1617
897,江山赛区,DSL_NB,'8.1639
898,成渝赛区,hw13972752,'8.1922
899,成渝赛区,hw04944232,'8.2138
900,西北赛区,疯狂混子,'8.2214
901,上合赛区,淡黄的长裙,'8.2295
902,杭厦赛区,痒痒猫,'8.2452
903,西北赛区,1234567,'8.2493
904,成渝赛区,精神小伙,'8.2592
905,杭厦赛区,可可爱爱小熊仔,'8.2968
906,西北赛区,七层套娃来找环,'8.3052
907,江山赛区,hw48664467,'8.3384
908,成渝赛区,messi-10,'8.3457
909,京津东赛区,蓬松的头发,'8.3844
910,成渝赛区,01-issem,'8.4564
911,上合赛区,大佬让让我,'8.4927
912,上合赛区,hw22607732,'8.4938
913,京津东赛区,Instant Search,'8.5028
914,上合赛区,小狼崽2020发光吧,'8.5186
915,上合赛区,e-xxkun,'8.569
916,成渝赛区,huashanjk,'8.5876
917,西北赛区,mgg644,'8.5893
918,江山赛区,hw71783022,'8.5992
919,江山赛区,One Piece,'8.6156
920,成渝赛区,404NotFound,'8.6196
921,江山赛区,NUAA_B13,'8.6365
922,西北赛区,hw84551653,'8.6448
923,成渝赛区,cwq,'8.7284
924,成渝赛区,Poemanfurture,'8.7289
925,江山赛区,春田花花幼稚园,'8.7432
926,上合赛区,hw32964728,'8.7849
927,杭厦赛区,hw75076535,'8.8118
928,西北赛区,hw58790633,'8.8126
929,成渝赛区,让我先跑39米,'8.8693
930,粤港澳赛区,hw92960653,'8.8718
931,西北赛区,hl_gogo,'8.9033
932,西北赛区,西北史努比,'8.9217
933,粤港澳赛区,csqi9601,'8.9268
934,上合赛区,HeadSteel,'8.9301
935,江山赛区,hw68792974,'8.9439
936,西北赛区,Stu_Sun,'8.9956
937,粤港澳赛区,小做题家,'9.0034
938,西北赛区,hw68597056,'9.0146
939,成渝赛区,hw69695587,'9.0369
940,成渝赛区,hw46954787,'9.0522
941,上合赛区,hw84349918,'9.0556
942,西北赛区,仙工大,'9.0597
943,上合赛区,hw35453026,'9.063
944,上合赛区,就看看,'9.079
945,上合赛区,jyhx0903,'9.0868
946,上合赛区,hw89873432,'9.0881
947,粤港澳赛区,不知道对不对,'9.0893
948,江山赛区,渣渣灰,'9.0982
949,武长赛区,萌新，冲鸭,'9.1133
950,粤港澳赛区,hw92664442,'9.1358
951,杭厦赛区,jksoap,'9.1569
952,江山赛区,fivefiveopen,'9.1594
953,京津东赛区,鱼蛋蛋的喵,'9.1599
954,京津东赛区,敢为人先,'9.1788
955,西北赛区,blessdly,'9.1845
956,杭厦赛区,hw88331246,'9.1936
957,江山赛区,狭路相逢勇者胜,'9.2124
958,上合赛区,奥佛队,'9.2277
959,上合赛区,hw12400457,'9.2366
960,成渝赛区,其实我在第五层,'9.2432
961,西北赛区,BattleShip,'9.2611
962,西北赛区,45度仰望天空~,'9.2616
963,西北赛区,hw96424674,'9.2772
964,成渝赛区,hw09461151,'9.3192
965,京津东赛区,hw58208901,'9.3224
966,杭厦赛区,长迁,'9.3291
967,西北赛区,ZhiyuanRen,'9.3445
968,成渝赛区,艺洋千禧,'9.3664
969,西北赛区,hw63809112,'9.3748
970,西北赛区,fearless,'9.3765
971,京津东赛区,aqwzuishuai,'9.3787
972,武长赛区,hw00764049,'9.3854
973,粤港澳赛区,唱跳rap,'9.4122
974,西北赛区,小天后,'9.4407
975,上合赛区,蓬松的头发,'9.4409
976,京津东赛区,秧歌star,'9.4515
977,西北赛区,试试看,'9.4524
978,成渝赛区,hw44661176,'9.4606
979,西北赛区,天天打卡,'9.4644
980,西北赛区,hopegrace,'9.4726
981,上合赛区,hw82503089,'9.4747
982,武长赛区,zhenxiang,'9.492
983,粤港澳赛区,hw17798847,'9.507
984,西北赛区,楼上你太美,'9.5247
985,京津东赛区,超级魔装机神Galen,'9.5434
986,江山赛区,archlinux,'9.5573
987,京津东赛区,NEU_XinYi,'9.5638
988,武长赛区,hw19262386,'9.564
989,上合赛区,777,'9.5787
990,上合赛区,下一秒就是我的,'9.5818
991,江山赛区,hw85016378,'9.5867
992,上合赛区,暴力也是魔法,'9.5969
993,杭厦赛区,风起云涌,'9.6046
994,武长赛区,cabbage,'9.6323
995,西北赛区,糖葫芦,'9.646
996,杭厦赛区,wealynnode,'9.6501
997,西北赛区,伞兵一号已就位,'9.661
998,西北赛区,Funny_mud_pee,'9.6699
999,京津东赛区,qYinan,'9.6871
1000,成渝赛区,hw68670954,'9.6989
1001,杭厦赛区,IntelliJ,'9.7177
1002,京津东赛区,NOBUG,'9.7558
1003,成渝赛区,yseyes,'9.7989
1004,西北赛区,keyword,'9.8019
1005,西北赛区,蓬松的头发队,'9.8202
1006,西北赛区,LiLin0118,'9.8231
1007,西北赛区,背身单打大师,'9.8287
1008,成渝赛区,这波是肉蛋葱鸡,'9.8441
1009,杭厦赛区,hw53798710,'9.8558
1010,西北赛区,ffee1111,'9.8559
1011,武长赛区,啄米plus,'9.8631
1012,西北赛区,zhangzerui,'9.8875
1013,成渝赛区,leo-10,'9.8944
1014,京津东赛区,hw32166124,'9.9763
1015,京津东赛区,来划水的小白,'10.0064
1016,江山赛区,改名字,'10.012
1017,粤港澳赛区,叮当,'10.0342
1018,京津东赛区,hw46412873,'10.0943
1019,武长赛区,hw61107423,'10.1138
1020,成渝赛区,aiyishiqu,'10.1392
1021,成渝赛区,hw28896443,'10.1758
1022,江山赛区,第54个质数,'10.3513
1023,西北赛区,这把宝刀专割柚子厨的,'10.3581
1024,杭厦赛区,Polaris_Chen,'10.3682
1025,杭厦赛区,hw38771961,'10.4009
1026,西北赛区,hehehehahaha,'10.4592
1027,粤港澳赛区,hw88811113,'10.4862
1028,成渝赛区,RUSH_200K,'10.5029
1029,西北赛区,sssssssssss,'10.5093
1030,武长赛区,hw89340202,'10.5114
1031,粤港澳赛区,hw52488311,'10.527
1032,粤港澳赛区,Error99,'10.5339
1033,武长赛区,hw54922265,'10.5829
1034,成渝赛区,hw18383371,'10.6089
1035,粤港澳赛区,大学城南荔枝湾队,'10.6212
1036,杭厦赛区,dalaodaidaiwo_,'10.6783
1037,粤港澳赛区,胡萝卜保护协会荣誉会员,'10.7182
1038,杭厦赛区,我爱这个,'10.7625
1039,武长赛区,HHHHH,'10.7641
1040,武长赛区,Sudazzle,'10.798
1041,成渝赛区,onesmart_m,'10.8409
1042,杭厦赛区,cypcyp,'10.932
1043,上合赛区,ss,'11.0755
1044,西北赛区,hw00821684,'11.0789
1045,江山赛区,爆肝打代码,'11.0918
1046,上合赛区,ustc225-1,'11.1379
1047,成渝赛区,CQUPT_CAI,'11.1543
1048,武长赛区,xiao-ge_,'11.1681
1049,成渝赛区,行行行,'11.1809
1050,江山赛区,清蒸哈什蚂,'11.3806
1051,京津东赛区,hw88006891,'11.4384
1052,上合赛区,裂开225,'11.5414
1053,成渝赛区,hw20835907,'11.544
1054,成渝赛区,hw28731387,'11.6113
1055,西北赛区,hw48901084,'11.617
1056,成渝赛区,沃克比欧文更好,'11.6232
1057,杭厦赛区,hw39830293,'11.6264
1058,杭厦赛区,古道西风瘦马,'11.7723
1059,上合赛区,no bug,no error,'11.841
1060,成渝赛区,三人行,'11.8999
1061,杭厦赛区,元宝暴暴,'11.9566
1062,京津东赛区,hw26608680,'12.0626
1063,上合赛区,workSpacePlus,'12.0635
1064,西北赛区,伞兵二号已就位,'12.1599
1065,成渝赛区,Sejuani,'12.2085
1066,京津东赛区,别浪,'12.244
1067,西北赛区,hw91983105,'12.3951
1068,杭厦赛区,hw05094449,'12.4264
1069,杭厦赛区,tql,'12.4717
1070,粤港澳赛区,Zero_eclipse,'12.5982
1071,粤港澳赛区,小谷围一姐,'12.6641
1072,成渝赛区,hw02849838,'12.7187
1073,西北赛区,hxhxhxhxhxhxhxh,'12.7373
1074,粤港澳赛区,Gai-Lun,'12.7616
1075,西北赛区,chu8865,'12.7986
1076,京津东赛区,Sukri,'13.1635
1077,上合赛区,hw55538598,'13.2171
1078,成渝赛区,球球给我个SSSSP吧,'13.2712
1079,西北赛区,Zhiyuan_Ren,'13.3197
1080,粤港澳赛区,strawsuper,'13.4065
1081,杭厦赛区,hw68751712,'13.4623
1082,杭厦赛区,hw95033386,'13.6467
1083,成渝赛区,剪刀刺客,'13.6642
1084,上合赛区,566菜鸡,'13.6849
1085,成渝赛区,yling,'13.7742
1086,京津东赛区,漓洲,'13.9162
1087,武长赛区,精神小伙,'13.9482
1088,武长赛区,超人小分队,'14.047
1089,上合赛区,hw43586472,'14.0841
1090,成渝赛区,xing xing xing3,'14.1334
1091,成渝赛区,Gnest,'14.1651
1092,成渝赛区,hw77194857,'14.2915
1093,杭厦赛区,hw35680922,'14.4989
1094,成渝赛区,刚学冒泡排序,'14.5642
1095,成渝赛区,hw65146408,'14.5677
1096,成渝赛区,freyaa,'14.6135
1097,武长赛区,蓬松的头发淡黄的裙子,'14.7804
1098,西北赛区,hw64448957,'14.9501
1099,粤港澳赛区,EAGHINee,'14.9507
1100,江山赛区,hw82820570,'14.9565
1101,江山赛区,hw16212834,'14.9884
1102,粤港澳赛区,canranboy,'15.0463
1103,西北赛区,吸烟有害健康,'15.1317
1104,成渝赛区,HFL123,'15.5134
1105,上合赛区,hw56019049,'15.8204
1106,上合赛区,hw99325344,'15.8278
1107,成渝赛区,成电少帮主,'15.8687
1108,杭厦赛区,LISICHENG_MS,'15.9308
1109,杭厦赛区,信用卡诈骗小组,'15.942
1110,西北赛区,xjtu_No.1,'16.0106
1111,京津东赛区,hw22771598,'16.1549
1112,江山赛区,hw33193654,'16.2321
1113,京津东赛区,花样划水,'16.3161
1114,杭厦赛区,手里的java不香了,'16.443
1115,成渝赛区,hw57490158,'16.4762
1116,西北赛区,wzy9656,'16.5382
1117,西北赛区,hw51349677,'16.5428
1118,武长赛区,运气比较好,'16.6278
1119,成渝赛区,搬砖小队,'16.8853
1120,京津东赛区,大赛截止时间,'16.9042
1121,杭厦赛区,hw84417100,'16.954
1122,成渝赛区,我拿buff，谢谢！,'17.5643
1123,上合赛区,强哥郭老np,'17.5881
1124,京津东赛区,hw92348605,'17.7847
1125,杭厦赛区,Hm ,'17.8547
1126,西北赛区,hold on,'17.9412
1127,上合赛区,冲起来,'18.2415
1128,上合赛区,roeexu,'18.342
1129,上合赛区,zhangfeiyang,'19.1677
1130,成渝赛区,nobody,'19.289
1131,西北赛区,hw01504280,'19.3373
1132,上合赛区,摸鱼吧！,'19.4758
1133,武长赛区,hw57664784,'19.5042
1134,杭厦赛区,元宝妈妈,'19.5174
1135,杭厦赛区,hw85700360,'19.5701
1136,京津东赛区,来搞笑的,'19.6801
1137,粤港澳赛区,S_black,'20.1983
1138,上合赛区,daniel1210,'20.3501
1139,西北赛区,hw_zzy1997,'20.6309
1140,京津东赛区,阿木木zzz,'20.7558
1141,西北赛区,hw84049800,'20.9961
1142,武长赛区,cuber,'21.1984
1143,京津东赛区,Jiiang_Xin,'21.2589
1144,成渝赛区,litlettleTime,'21.4814
1145,武长赛区,yyw的粉丝们,'21.7207
1146,京津东赛区,爱举重的山羊,'21.8413
1147,粤港澳赛区,khun_gs,'21.9453
1148,粤港澳赛区,hw23542402,'22.596
1149,京津东赛区,hw77597494,'22.6289
1150,成渝赛区,给大佬递Java,'22.7391
1151,京津东赛区,hw44800925,'22.7515
1152,西北赛区,乘风破浪,'22.8216
1153,成渝赛区,hw86628830,'22.8842
1154,成渝赛区,我的名字,'22.9645
1155,京津东赛区,蛋黄长裙,'23.4917
1156,京津东赛区,hw30398852,'23.8998
1157,粤港澳赛区,菜鸡队,'24.0223
1158,京津东赛区,hw94871809,'24.0983
1159,粤港澳赛区,咕噜咕噜茄,'24.2699
1160,成渝赛区,爱华,'24.7063
1161,江山赛区,hw54830062,'25.1199
1162,上合赛区,hw07187489,'25.2078
1163,江山赛区,hw89346151,'25.276
1164,粤港澳赛区,asda,'25.8878
1165,粤港澳赛区,aaa,'26.0716
1166,上合赛区,hw52876030,'26.1273
1167,成渝赛区,dfs,'26.3832
1168,江山赛区,AKOgogogo,'27.0452
1169,江山赛区,857857857,'27.0561
1170,上合赛区,叫什么都一样,'27.1174
1171,西北赛区,tc2020,'27.249
1172,上合赛区,?循环转账让钱增多！,'27.5168
1173,上合赛区,learner_huawei,'28.9896
1174,杭厦赛区,hw48743653,'30.5509
1175,上合赛区,Hello World,'30.7165
1176,上合赛区,GGBond,'30.7578
1177,上合赛区,hw20651501,'30.7835
1178,武长赛区,三个臭皮匠,'30.9121
1179,西北赛区,hw810905,'31.1102
1180,成渝赛区,小葡萄呀小葡萄,'31.2522
1181,江山赛区,就想获个奖,'31.5961
1182,上合赛区,lxhana,'31.7355
1183,西北赛区,DJW,'32.3489
1184,成渝赛区,神技大学法海,'33.0913
1185,京津东赛区,hw28749316,'33.1068
1186,西北赛区,python也太慢了,'33.7504
1187,上合赛区,今天是个好日子,'34.0149
1188,成渝赛区,hw22642051,'34.0849
1189,京津东赛区,YB_YB,'34.6996
1190,上合赛区,窃格瓦拉归来,'35.4839
1191,上合赛区,青春有我,'36.2055
1192,杭厦赛区,Goto,'36.35
1193,武长赛区,hw67740744,'36.79
1194,京津东赛区,AWSL,'36.8478
1195,武长赛区,TeemoGan,'37.1571
1196,上合赛区,USTC1010,'37.2209
1197,成渝赛区,hw53266638,'37.4594
1198,西北赛区,hw21499804,'37.7306
1199,京津东赛区,_YB8Bo_,'38.1916
1200,上合赛区,hw46899021,'38.2554
1201,江山赛区,在下牛俊生；人上人,'38.846
1202,西北赛区,wenkei,'38.8795
1203,成渝赛区,一般通过，混个脸熟,'39.0429
1204,上合赛区,tkl0314,'39.5147
1205,杭厦赛区,hw55827523,'39.5384
1206,杭厦赛区,hw65499333,'39.6218
1207,江山赛区,三相神,'39.8572
1208,杭厦赛区,hw93129234,'40.3079
1209,西北赛区,塞班,'40.4516
1210,上合赛区,hw41203133,'40.836
1211,杭厦赛区,hw63794692,'40.9195
1212,杭厦赛区,hw34499281,'41.0229
1213,武长赛区,What2,'41.149
1214,西北赛区,一个臭皮匠咋顶诸葛亮,'42.7877
1215,西北赛区,hw89686133,'42.8552
1216,上合赛区,校霸,'42.9454
1217,京津东赛区,Yin_Cofer,'44.1345
1218,成渝赛区,COVET,'44.7011
1219,上合赛区,dragonx,'45.022
1220,江山赛区,Yin_Cofer,'45.5255
1221,上合赛区,hw80021605,'46.2883
1222,上合赛区,hw94741046,'46.4631
1223,西北赛区,wzpcc,'46.6827
1224,京津东赛区,zksar1990,'47.8018
1225,武长赛区,运筹优化小队,'47.9785
1226,成渝赛区,uestc_allen,'48.1719
1227,武长赛区,LINRUIHANG,'48.443
1228,成渝赛区,hw95451504,'48.4923
1229,上合赛区,hw06725283,'48.5517
1230,成渝赛区,就当是个队名,'48.5643
1231,武长赛区,LI,'48.5709
1232,上合赛区,摸鱼我最强,'48.7816
1233,杭厦赛区,hdjsjysx,'49.0406
1234,武长赛区,海底捞,'49.2505
1235,京津东赛区,hw06725283,'49.3819
1236,上合赛区,hw94891551,'50.3885
1237,京津东赛区,兴趣/责任,'52.2496
1238,江山赛区,hw59912795,'52.6288
1239,上合赛区,hw86564899,'52.969
1240,成渝赛区,渴望进华为,'54.9785
1241,西北赛区,aware,'57.6816
1242,西北赛区,hw15477201,'59.2641
1243,江山赛区,hw28401209,'61.7516
1244,西北赛区,hw50570008,'62.3958
1245,杭厦赛区,三个男人,'63.6431
1246,京津东赛区,test,'63.912
1247,杭厦赛区,statham,'63.9767
1248,武长赛区,hust_1037,'63.9984
1249,京津东赛区,hw39601904,'64.0111
1250,上合赛区,加香菜不要洋葱,'64.2696
1251,京津东赛区,bbp123,'64.5546
1252,上合赛区,咸鱼突刺,'65.3439
1253,江山赛区,Coding,'65.8047
1254,粤港澳赛区,ggzz,'66.5604
1255,杭厦赛区,hw15480983,'66.6874
1256,西北赛区,xdai125,'66.7635
1257,江山赛区,楼上莫赶楼下莫追,'66.855
1258,西北赛区,hw91239333,'67.1641
1259,西北赛区,caoyue1995,'67.1995
1260,西北赛区,flyhema,'67.3649
1261,杭厦赛区,濮竹01,'67.5085
1262,西北赛区,hw16282285,'67.5143
1263,粤港澳赛区,C,'67.7924
1264,上合赛区,hw59297799,'68.264
1265,杭厦赛区,HXY,'68.88
1266,京津东赛区,BUPT_CODERS,'69.0106
1267,成渝赛区,hw94105119,'72.1096
1268,上合赛区,Yin_Cofer,'72.9041
1269,上合赛区,lnstrument,'74.7472
1270,成渝赛区,thth,'75.7587
1271,京津东赛区,CAU-fighter,'78.0013
1272,江山赛区,许你一片星河,'79.2547
1273,成渝赛区,hw28604196,'79.8145
1274,江山赛区,姐妹！,'80.8891
1275,上合赛区,煲二蒸一,'81.0626
1276,上合赛区,hw76600538,'81.1208
1277,成渝赛区,sunxiangjun,'81.1384
1278,江山赛区,liumin_1,'81.4469
1279,京津东赛区,hw17257923,'81.455
1280,京津东赛区,一只小弱鸡,'81.626
1281,杭厦赛区,杭电戏组,'82.1397
1282,江山赛区,xiaoxiaochengji,'82.3531
