Rank,Name,Score
648,江山赛区,一个大大大大大橙子,'3.4186
649,上合赛区,hw27491266,'3.4194
650,杭厦赛区,Feng_Shiyu,'3.4195
651,江山赛区,垃圾C++,'3.4206
652,江山赛区,没人写汇编吗,'3.4254
653,成渝赛区,hw79107462,'3.4432
654,成渝赛区,hw85938985,'3.4471
655,成渝赛区,hw17163246,'3.4497
656,江山赛区,Bug-maker,'3.4523
657,上合赛区,小嘉队,'3.4622
658,京津东赛区,hw87824027,'3.4626
659,成渝赛区,希望做的都队,'3.4672
660,上合赛区,guanrui95,'3.4689
661,上合赛区,hw85500118,'3.4868
662,杭厦赛区,hw76138140,'3.491
663,京津东赛区,hw,'3.4912
664,武长赛区,学反洗钱的洗钱组~,'3.4913
665,上合赛区,hw00717793,'3.5011
666,武长赛区,hw52602753,'3.5092
667,西北赛区,优化不动了,'3.5301
668,西北赛区,hw14159305,'3.531
669,上合赛区,Yao_725,'3.5408
670,江山赛区,CPPPPPP,'3.5714
671,粤港澳赛区,coco_cola,'3.5786
672,上合赛区,11号公寓的男孩们,'3.5855
673,杭厦赛区,last258,'3.5858
674,粤港澳赛区,wr_8040,'3.5877
675,京津东赛区,hellokun,'3.6135
676,江山赛区,hw60259697,'3.6248
677,江山赛区,江湖险恶,'3.6281
678,西北赛区,ydobi_,'3.646
679,杭厦赛区,lastxuanshen,'3.6523
680,武长赛区,Bota5ky,'3.6547
681,武长赛区,hw78446253,'3.6588
682,杭厦赛区,WUHUQIFEI,'3.673
683,杭厦赛区,lqsute,'3.6747
684,粤港澳赛区,hw81749476,'3.68
685,海外赛区,周日被我射熄火了 今天是周一,'3.6844
686,杭厦赛区,随便搞搞,'3.7025
687,江山赛区,歌德寂寞,'3.7142
688,武长赛区,hw00636709,'3.7156
689,京津东赛区,hw41098441,'3.7326
690,京津东赛区,长方体混凝土移动工程局,'3.7409
691,江山赛区,老周最强,'3.7431
692,江山赛区,hw0002,'3.7447
693,上合赛区,hw81749476,'3.763
694,成渝赛区,hw46235512,'3.7668
695,上合赛区,hw76963048,'3.7735
696,成渝赛区,篮网总冠军,'3.7828
697,杭厦赛区,hw58326981,'3.7853
698,上合赛区,hw65495744,'3.8036
699,江山赛区,hw68448534,'3.8154
700,江山赛区,原来比赛都是用C++的,'3.8155
701,上合赛区,hw56019049,'3.8354
702,京津东赛区,hw41277161,'3.8477
703,粤港澳赛区,高锌高钙,'3.8504
704,武长赛区,sunxiangjun,'3.8641
705,武长赛区,关山口小分队,'3.8733
706,京津东赛区,hw60460127,'3.8748
707,京津东赛区,JNJYan,'3.8777
708,西北赛区,senhony,'3.8823
709,江山赛区,我就写Java,'3.8847
710,武长赛区,chenyj99,'3.8867
711,京津东赛区,hw56510928,'3.8877
712,杭厦赛区,张小小恩,'3.9018
713,西北赛区,hw75507949,'3.9077
714,成渝赛区,hw41855014,'3.9177
715,成渝赛区,test_8262_123,'3.9337
716,成渝赛区,test_8803_3,'3.9352
717,杭厦赛区,你们好快呀,'3.9572
718,杭厦赛区,你们都好快~,'3.9589
719,西北赛区,EGM_EGMEGM,'3.9791
720,京津东赛区,hw19994293,'3.9875
721,西北赛区,A_Z_T_,'3.9875
722,京津东赛区,hw13357095,'3.995
723,粤港澳赛区,Derfei,'4.0164
724,上合赛区,hw67008262,'4.0216
725,江山赛区,hw79119866,'4.0456
726,京津东赛区,hw335188,'4.0583
727,江山赛区,hw33193654,'4.0699
728,京津东赛区,lcy796796,'4.0755
729,成渝赛区,Hongmoshui,'4.0928
730,上合赛区,同济第一交通委队,'4.1359
731,西北赛区,hw97836021,'4.1873
732,西北赛区,没有人比我更懂药水哥,'4.1878
733,京津东赛区,Auto-BIT,'4.1901
734,西北赛区,塞外鱼米乡,'4.2028
735,江山赛区,霁霓太美,'4.2113
736,杭厦赛区,pobin,'4.2228
737,京津东赛区,hw96234002,'4.2452
738,杭厦赛区,WH_Fly,'4.264
739,京津东赛区,hw84748906,'4.2709
740,成渝赛区,hw55849069,'4.2916
741,成渝赛区,hw38866491,'4.3079
742,西北赛区,叹一句当时只道是寻常,'4.3177
743,江山赛区,老周很强,'4.3316
744,西北赛区,hw63809112,'4.3543
745,上合赛区,梦付千秋星垂野,'4.3664
746,京津东赛区,关灯吃面,'4.3908
747,成渝赛区,你的月亮我的心,'4.4185
748,成渝赛区,hw39709928,'4.4339
749,京津东赛区,DMU20200305,'4.4366
750,杭厦赛区,hw20331507,'4.4413
751,成渝赛区,摸爬滚打学编程,'4.4484
752,成渝赛区,我也没想法,'4.458
753,成渝赛区,aweijx,'4.4866
754,上合赛区,Gattaca,'4.4891
755,西北赛区,hw56510928,'4.5045
756,上合赛区,SoltedFish,'4.5071
757,京津东赛区,hw43782227,'4.5228
758,粤港澳赛区,ICY2INVINCIBLE,'4.5274
759,成渝赛区,hw73788528,'4.5322
760,江山赛区,cqq2020,'4.5647
761,上合赛区,hzd0328,'4.573
762,成渝赛区,12345,'4.5892
763,西北赛区,kakuoo,'4.5898
764,上合赛区,no_bug,less_time,'4.6012
765,武长赛区,hust_1037,'4.6263
766,武长赛区,给大佬们献上一杯卡布奇诺,'4.6363
767,成渝赛区,123zcc,'4.6532
768,江山赛区,工作细胞,'4.675
769,成渝赛区,我太菜了,'4.6788
770,上合赛区,hasaki,'4.6929
771,京津东赛区,不慌我吃口药,'4.6971
772,武长赛区,没想好叫啥的咸鱼,'4.6993
773,西北赛区,莽就完事儿,'4.7259
774,武长赛区,hw77081732,'4.7263
775,上合赛区,guofyun,'4.7286
776,江山赛区,CCWUCMCTS,'4.7435
777,成渝赛区,西佳佳2,'4.7562
778,西北赛区,python也太慢了,'4.771
779,武长赛区,聪聪忙忙,'4.7714
780,上合赛区,鹅一样的队友,'4.7857
781,成渝赛区,shang949260,'4.805
782,粤港澳赛区,哈咯,'4.8121
783,武长赛区,hw47005954,'4.8352
784,成渝赛区,czson,'4.8514
785,成渝赛区,南山泉水鸡,'4.8717
786,江山赛区,hw0001,'4.8929
787,西北赛区,hw97728648,'4.8939
788,西北赛区,hw45405501,'4.8995
789,成渝赛区,xiyan_5768,'4.9202
790,上合赛区,hw28234889,'4.9283
791,上合赛区,hw10050129,'4.9535
792,京津东赛区,r3o7b2,'4.9752
793,粤港澳赛区,终于有分了,'4.9785
794,西北赛区,smalkang,'4.9814
795,西北赛区,donghhh,'4.9897
796,上合赛区,hw55222053,'5.015
797,江山赛区,hw26927667,'5.0289
798,西北赛区,hw89231531,'5.0376
799,上合赛区,hw36276357,'5.0527
800,上合赛区,薇鹅莉特,'5.0615
801,江山赛区,hw88007157,'5.063
802,西北赛区,xidian_zhs,'5.07
803,武长赛区,武长小组,'5.0755
804,西北赛区,hw13230034,'5.0776
805,西北赛区,美丽北大荒,'5.0929
806,成渝赛区,Little_squirrel_writing_code,'5.1076
807,杭厦赛区,hw93352096,'5.112
808,江山赛区,Tsunaou,'5.15
809,成渝赛区,yczlab,'5.1504
810,西北赛区,星尘远征军,'5.1599
811,成渝赛区,LLAmber,'5.1669
812,江山赛区,LeoDarcy,'5.1706
813,江山赛区,嘿嘿嘿,'5.1897
814,京津东赛区,hw02849838,'5.1936
815,江山赛区,ok兄弟会,'5.1939
816,杭厦赛区,aaaa,'5.2237
817,西北赛区,hw61286547,'5.2299
818,武长赛区,jodan_luo,'5.2449
819,江山赛区,Human Learning,'5.2597
820,上合赛区,hw20785000,'5.271
821,上合赛区,jamlke,'5.288
822,上合赛区,hw15114726,'5.2987
823,西北赛区,Terry_1iu,'5.3129
824,成渝赛区,西佳佳,'5.3149
825,西北赛区,hw59059868,'5.3234
826,京津东赛区,sigsers,'5.3523
827,西北赛区,hw99362153,'5.3555
828,西北赛区,试试看,'5.3656
829,武长赛区,2233在哪里,'5.3664
830,江山赛区,HMM,'5.3682
831,杭厦赛区,hw18274874,'5.3835
832,京津东赛区,hw28412572,'5.3868
833,江山赛区,不太会打加一队,'5.4138
834,江山赛区,发量惊人,'5.4176
835,成渝赛区,小松鼠来敲代码呀,'5.4295
836,西北赛区,tamlovincy,'5.446
837,成渝赛区,hw07883901,'5.4757
838,杭厦赛区,ANT,'5.5113
839,成渝赛区,hw53636925,'5.5273
840,西北赛区,hty_xjtu,'5.5494
841,江山赛区,求求你快点吧,'5.5737
842,成渝赛区,WYFXJHW,'5.588
843,成渝赛区,hw22835227,'5.6168
844,西北赛区,hw91595297,'5.6295
845,江山赛区,黑鸭黑鸭,'5.634
846,武长赛区,武理取闹两憨批,'5.6358
847,粤港澳赛区,Arrow,'5.6396
848,江山赛区,Poemanfurture,'5.6468
849,海外赛区,uestc_ccz,'5.6531
850,海外赛区,Poemanfurture,'5.6531
851,武长赛区,uestc_ccz,'5.6567
852,杭厦赛区,DoreenLing,'5.6594
853,江山赛区,O(n),'5.6619
854,上合赛区,Poemanfurture,'5.6626
855,江山赛区,DoreenLing,'5.6693
856,江山赛区,hw08786912,'5.6796
857,西北赛区,神厨小福贵,'5.6821
858,粤港澳赛区,tx_clarklin,'5.6866
859,成渝赛区,Poemanfurture,'5.6975
860,成渝赛区,DoreenLing,'5.6983
861,武长赛区,DoreenLing,'5.7075
862,上合赛区,JAVAer不配拥有姓名吗,'5.7088
863,西北赛区,DoreenLing,'5.7122
864,海外赛区,DoreenLing,'5.7122
865,粤港澳赛区,DoreenLing,'5.7166
866,西北赛区,uestc_ccz,'5.7176
867,成渝赛区,风暴龙王降临 决战开始,'5.7506
868,武长赛区,终于等到你,'5.7518
869,江山赛区,hw85016378,'5.7715
870,西北赛区,干就完事了,'5.7738
871,杭厦赛区,Csn1889,'5.78
872,杭厦赛区,hw10126301,'5.784
873,成渝赛区,hw55841801,'5.7915
874,江山赛区,伏地魔,'5.8176
875,京津东赛区,zzz,'5.818
876,杭厦赛区,中华民族不畏新冠,'5.8355
877,京津东赛区,肉蛋葱鸡,'5.8477
878,江山赛区,清蒸哈什蚂,'5.8492
879,杭厦赛区,菜鸡,'5.8626
880,西北赛区,hw09054337,'5.868
881,江山赛区,蛋炒饭,'5.8781
882,武长赛区,hw57490158,'5.8866
883,京津东赛区,DQ9999,'5.9259
884,西北赛区,t123456,'5.9431
885,杭厦赛区,菜比联盟冲鸭,'5.9444
886,粤港澳赛区,hw43948465,'5.9514
887,成渝赛区,请输入新的团队名称,'5.9644
888,粤港澳赛区,只会BF怎么办,'5.9799
889,成渝赛区,upsoar,'5.9851
890,京津东赛区,hw27363490,'5.988
891,粤港澳赛区,么么么,'6.0394
892,粤港澳赛区,iammai,'6.0951
893,西北赛区,上上下下左右左右BABA,'6.0979
894,西北赛区,hw50174232,'6.1682
895,江山赛区,药水哥队,'6.1694
896,江山赛区,dwtenis,'6.1851
897,成渝赛区,刚学冒泡排序,'6.1991
898,西北赛区,ffee1111,'6.233
899,江山赛区,春田花花幼稚园,'6.2333
900,西北赛区,hw02849838,'6.2671
901,西北赛区,伞兵一号已就位,'6.2994
902,杭厦赛区,dwtenis,'6.303
903,粤港澳赛区,silver,'6.3042
904,杭厦赛区,鲲之大一锅炖不下,'6.3204
905,京津东赛区,漓洲,'6.3364
906,上合赛区,chegnice,'6.3487
907,西北赛区,ruidada,'6.4055
908,上合赛区,yhchen,'6.4191
909,武长赛区,dwtenis,'6.4547
910,上合赛区,划水1号,'6.5016
911,成渝赛区,learning_BORA,'6.5273
912,京津东赛区,迪丽热巴哥,'6.5454
913,杭厦赛区,hw24542242,'6.5603
914,西北赛区,hw72079692,'6.5657
915,上合赛区,hw56900781,'6.5809
916,粤港澳赛区,hw68670954,'6.5929
917,成渝赛区,hw53551693,'6.5944
918,海外赛区,树上的鸟儿成双队,'6.6249
919,粤港澳赛区,sunxiangjun,'6.6708
920,武长赛区,hw21811905,'6.6885
921,西北赛区,小猫咪你为什么总是脱毛,'6.6896
922,京津东赛区,三人行,'6.6973
923,上合赛区,华为手机是我们的！吗,'6.7021
924,京津东赛区,hw75093277,'6.712
925,上合赛区,fengww,'6.7241
926,上合赛区,Nanase_,'6.7393
927,武长赛区,HHHHH,'6.7411
928,江山赛区,gzy1995,'6.7949
929,西北赛区,hw02559310,'6.8066
930,京津东赛区,blindhakoton,'6.8125
931,上合赛区,hw81481076,'6.8233
932,上合赛区,HFZhang,'6.836
933,西北赛区,hw17736998,'6.8394
934,上合赛区,鸭一样的队友,'6.8504
935,江山赛区,蜜桃猫,'6.8504
936,成渝赛区,艺洋千禧,'6.8663
937,江山赛区,酱油一波,'6.8819
938,江山赛区,hw81711833,'6.8968
939,成渝赛区,hw91346810,'6.9008
940,成渝赛区,2020中国加油,'6.9362
941,江山赛区,hw89483362,'6.9458
942,西北赛区,Creammmmm,'6.9563
943,京津东赛区,hw95661442,'6.9566
944,武长赛区,天天向上,'6.971
945,江山赛区,玄学调优中,'6.9804
946,成渝赛区,咸鱼队,'7.0033
947,成渝赛区,hw13860832,'7.0199
948,武长赛区,您吃了吗,'7.0246
949,粤港澳赛区,hw02849838,'7.0408
950,江山赛区,hw67398159,'7.0463
951,上合赛区,小鱼天上飞,'7.0737
952,成渝赛区,hw15378795,'7.1094
953,西北赛区,void,'7.1144
954,京津东赛区,hw56315619,'7.1228
955,京津东赛区,hw61820190,'7.1241
956,杭厦赛区,hw69129214,'7.174
957,上合赛区,hw16356707,'7.1906
958,江山赛区,magicbearzhy,'7.1907
959,成渝赛区,hw74247577,'7.1973
960,成渝赛区,咸鱼池的咸鱼,'7.199
961,上合赛区,hw78053806,'7.1992
962,杭厦赛区,Cyuanhhhhhh,'7.2234
963,西北赛区,伞兵三号已就位,'7.2401
964,上合赛区,hw39070211,'7.3171
965,京津东赛区,guanph001,'7.3306
966,江山赛区,john-junjun,'7.334
967,西北赛区,hw71074398,'7.3391
968,上合赛区,杨正宗,'7.3392
969,武长赛区,怼字念队,'7.3459
970,上合赛区,裂开225,'7.362
971,上合赛区,xzdDong,'7.3743
972,江山赛区,LucasHou,'7.382
973,江山赛区,狭路相逢勇者胜,'7.4188
974,杭厦赛区,YaoYee,'7.4381
975,上合赛区,hw91811502,'7.4828
976,上合赛区,roeexu,'7.493
977,杭厦赛区,甄甄,'7.5363
978,杭厦赛区,hw53303574,'7.5368
979,上合赛区,小朋友你是否有很多问号,'7.5717
980,成渝赛区,Tymon,'7.5739
981,武长赛区,疾风剑豪之狂风绝息斩,'7.5822
982,上合赛区,hw34935364,'7.6348
983,武长赛区,hw46923167,'7.6374
984,武长赛区,德玛西亚皇子之巨龙撞击,'7.6384
985,武长赛区,hw47779841,'7.6418
986,西北赛区,mgg644,'7.6779
987,上合赛区,就看看,'7.6902
988,江山赛区,yigeiwoli_giaogiao,'7.7044
989,海外赛区,-1s,'7.7069
990,成渝赛区,Kaiju,'7.7247
991,京津东赛区,YB_YB,'7.7726
992,武长赛区,useless,'7.7821
993,上合赛区,膜法赐我力量,'7.8162
994,上合赛区,hw50174232,'7.8423
995,西北赛区,二营长，把你他娘的意大利泡面拿出来,'7.8497
996,京津东赛区,CLANNAD,'7.8525
997,西北赛区,hehehehahaha,'7.8551
998,京津东赛区,hw88261139,'7.8641
999,杭厦赛区,wyh2dxh,'7.8676
1000,上合赛区,hw25303207,'7.9295
1001,上合赛区,冲,'7.9372
1002,武长赛区,whut分母小队,'7.9394
1003,粤港澳赛区,dfs_upupup,'7.9458
1004,京津东赛区,hw92348605,'7.9705
1005,江山赛区,yyyyhhhh,'8.0036
1006,杭厦赛区,天蓬元帅,'8.0141
1007,江山赛区,fivefiveopen,'8.0461
1008,粤港澳赛区,三杯弄剑,'8.0505
1009,京津东赛区,鱼蛋蛋,'8.0549
1010,成渝赛区,hw02704371,'8.0671
1011,粤港澳赛区,菜狗就不配参赛了么,'8.1037
1012,粤港澳赛区,hw92960653,'8.1098
1013,杭厦赛区,cypcyp,'8.1374
1014,江山赛区,今世进士尽是近视,'8.1537
1015,粤港澳赛区,风中孤独的一匹狗,'8.1617
1016,江山赛区,DSL_NB,'8.1639
1017,成渝赛区,hw13972752,'8.1922
1018,成渝赛区,hw04944232,'8.2138
1019,西北赛区,疯狂混子,'8.2214
1020,西北赛区,always@(posedge hearbeats),'8.2276
1021,上合赛区,淡黄的长裙,'8.2295
1022,京津东赛区,hw52443242,'8.2338
1023,杭厦赛区,痒痒猫,'8.2452
1024,西北赛区,1234567,'8.2493
1025,成渝赛区,精神小伙,'8.2592
1026,杭厦赛区,可可爱爱小熊仔,'8.2968
1027,西北赛区,七层套娃来找环,'8.3052
1028,京津东赛区,来搞笑的,'8.3143
1029,江山赛区,hw48664467,'8.3384
1030,成渝赛区,messi-10,'8.3457
1031,京津东赛区,蓬松的头发,'8.3844
1032,粤港澳赛区,westwood,'8.446
1033,成渝赛区,01-issem,'8.4564
1034,上合赛区,大佬让让我,'8.4927
1035,上合赛区,hw22607732,'8.4938
1036,京津东赛区,Instant Search,'8.5028
1037,上合赛区,小狼崽2020发光吧,'8.5186
1038,京津东赛区,_YB8Bo_,'8.5325
1039,上合赛区,e-xxkun,'8.569
1040,成渝赛区,huashanjk,'8.5876
1041,江山赛区,hw71783022,'8.5992
1042,江山赛区,One Piece,'8.6156
1043,成渝赛区,404NotFound,'8.6196
1044,江山赛区,NUAA_B13,'8.6365
1045,西北赛区,hw84551653,'8.6448
1046,成渝赛区,cwq,'8.7284
1047,京津东赛区,hjkl,'8.7425
1048,江山赛区,archlinux,'8.7714
1049,上合赛区,hw32964728,'8.7849
1050,杭厦赛区,hw75076535,'8.8118
1051,西北赛区,hw58790633,'8.8126
1052,成渝赛区,让我先跑39米,'8.8693
1053,西北赛区,hl_gogo,'8.9033
1054,西北赛区,西北史努比,'8.9217
1055,粤港澳赛区,csqi9601,'8.9268
1056,上合赛区,HeadSteel,'8.9301
1057,江山赛区,hw68792974,'8.9439
1058,江山赛区,渣渣灰,'8.9714
1059,西北赛区,Stu_Sun,'8.9956
1060,粤港澳赛区,hw20685628,'8.9998
1061,粤港澳赛区,小做题家,'9.0034
1062,西北赛区,hw68597056,'9.0146
1063,成渝赛区,hw69695587,'9.0369
1064,成渝赛区,hw46954787,'9.0522
1065,上合赛区,hw84349918,'9.0556
1066,西北赛区,仙工大,'9.0597
1067,上合赛区,hw35453026,'9.063
1068,上合赛区,jyhx0903,'9.0868
1069,上合赛区,hw89873432,'9.0881
1070,粤港澳赛区,不知道对不对,'9.0893
1071,武长赛区,hw34724035,'9.1133
1072,粤港澳赛区,hw92664442,'9.1358
1073,江山赛区,GroundBySpring,'9.1493
1074,上合赛区,hw76446675,'9.1566
1075,杭厦赛区,jksoap,'9.1569
1076,京津东赛区,鱼蛋蛋的喵,'9.1599
1077,京津东赛区,敢为人先,'9.1788
1078,西北赛区,blessdly,'9.1845
1079,杭厦赛区,hw88331246,'9.1936
1080,粤港澳赛区,苏牙踢前锋,'9.1998
1081,上合赛区,奥佛队,'9.2277
1082,上合赛区,hw12400457,'9.2366
1083,成渝赛区,其实我在第五层,'9.2432
1084,成渝赛区,hw06200860,'9.2539
1085,京津东赛区,hw88006891,'9.2583
1086,西北赛区,BattleShip,'9.2611
1087,西北赛区,45度仰望天空~,'9.2616
1088,成渝赛区,我拿buff，谢谢！,'9.2627
1089,西北赛区,hw96424674,'9.2772
1090,西北赛区,hw47609169,'9.2797
1091,成渝赛区,hw27602532,'9.2971
1092,成渝赛区,hw09461151,'9.3192
1093,京津东赛区,hw58208901,'9.3224
1094,杭厦赛区,长迁,'9.3291
1095,粤港澳赛区,GFHW_,'9.3312
1096,西北赛区,ZhiyuanRen,'9.3445
1097,西北赛区,fearless,'9.3765
1098,京津东赛区,aqwzuishuai,'9.3787
1099,粤港澳赛区,唱跳rap,'9.4122
1100,成渝赛区,hw02287050,'9.422
1101,西北赛区,直接给我一个把世界灭掉的高音,'9.4328
1102,西北赛区,小天后,'9.4407
1103,上合赛区,蓬松的头发,'9.4409
1104,京津东赛区,秧歌star,'9.4515
1105,成渝赛区,hw44661176,'9.4606
1106,西北赛区,天天打卡,'9.4644
1107,西北赛区,hopegrace,'9.4726
1108,西北赛区,糖葫芦,'9.4735
1109,上合赛区,hw82503089,'9.4747
1110,武长赛区,zhenxiang,'9.492
1111,粤港澳赛区,JadynTao,'9.507
1112,西北赛区,hw51701206,'9.5291
1113,京津东赛区,超级魔装机神Galen,'9.5434
1114,京津东赛区,NEU_XinYi,'9.5638
1115,武长赛区,hw19262386,'9.564
1116,上合赛区,777,'9.5787
1117,上合赛区,下一秒就是我的,'9.5818
1118,杭厦赛区,hw33458053,'9.5936
1119,上合赛区,暴力也是魔法,'9.5969
1120,杭厦赛区,风起云涌,'9.6046
1121,武长赛区,cabbage,'9.6323
1122,杭厦赛区,wealynnode,'9.6501
1123,江山赛区,就想获个奖,'9.6637
1124,西北赛区,Funny_mud_pee,'9.6699
1125,杭厦赛区,hw10320955,'9.6775
1126,京津东赛区,qYinan,'9.6871
1127,成渝赛区,hw68670954,'9.6989
1128,杭厦赛区,IntelliJ,'9.7177
1129,京津东赛区,NOBUG,'9.7558
1130,成渝赛区,yseyes,'9.7989
1131,西北赛区,keyword,'9.8019
1132,西北赛区,蓬松的头发队,'9.8202
1133,西北赛区,交大西瓜籽,'9.8231
1134,西北赛区,背身单打大师,'9.8287
1135,成渝赛区,这波是肉蛋葱鸡,'9.8441
1136,西北赛区,hw09208027,'9.8447
1137,杭厦赛区,hw53798710,'9.8558
1138,武长赛区,啄米plus,'9.8631
1139,西北赛区,zhangzerui,'9.8875
1140,成渝赛区,leo-10,'9.8944
1141,京津东赛区,hw32166124,'9.9763
1142,京津东赛区,来划水的小白,'10.0064
1143,江山赛区,改名字,'10.012
1144,粤港澳赛区,叮当,'10.0342
1145,成渝赛区,小葡萄呀小葡萄,'10.0532
1146,京津东赛区,hw46412873,'10.0943
1147,成渝赛区,aiyishiqu,'10.1392
1148,成渝赛区,hw59461016,'10.1624
1149,成渝赛区,hw28896443,'10.1758
1150,江山赛区,第54个质数,'10.3513
1151,西北赛区,这把宝刀专割柚子厨的,'10.3581
1152,江山赛区,wcdh1111,'10.3626
1153,杭厦赛区,Polaris_Chen,'10.3682
1154,成渝赛区,hw86929359,'10.3995
1155,杭厦赛区,hw38771961,'10.4009
1156,粤港澳赛区,hw88811113,'10.4424
1157,杭厦赛区,hw33230974,'10.5016
1158,成渝赛区,RUSH_200K,'10.5029
1159,西北赛区,sssssssssss,'10.5093
1160,武长赛区,hw89340202,'10.5114
1161,成渝赛区,爱华,'10.5192
1162,粤港澳赛区,hw52488311,'10.527
1163,粤港澳赛区,Error99,'10.5339
1164,武长赛区,hw54922265,'10.5829
1165,成渝赛区,hw18383371,'10.6089
1166,粤港澳赛区,大学城南荔枝湾队,'10.6212
1167,杭厦赛区,dalaodaidaiwo_,'10.6783
1168,粤港澳赛区,胡萝卜保护协会荣誉会员,'10.7182
1169,成渝赛区,hw28731387,'10.7311
1170,成渝赛区,CQUPT_CAI,'10.7607
1171,杭厦赛区,我爱这个,'10.7625
1172,武长赛区,Sudazzle,'10.798
1173,杭厦赛区,hw65499333,'10.7997
1174,成渝赛区,onesmart_m,'10.8409
1175,上合赛区,hw38874253,'11.0683
1176,上合赛区,hw73885874,'11.0755
1177,西北赛区,hw00821684,'11.0789
1178,江山赛区,爆肝打代码,'11.0918
1179,成渝赛区,Gnest,'11.1252
1180,上合赛区,ustc225-1,'11.1379
1181,武长赛区,xiao-ge_,'11.1681
1182,成渝赛区,行行行,'11.1809
1183,成渝赛区,hw20835907,'11.544
1184,西北赛区,hw48901084,'11.617
1185,成渝赛区,沃克比欧文更好,'11.6232
1186,杭厦赛区,hw39830293,'11.6264
1187,成渝赛区,黔江鸡杂,'11.6579
1188,杭厦赛区,12333,'11.6933
1189,杭厦赛区,古道西风瘦马,'11.7723
1190,上合赛区,no bug,no error,'11.841
1191,杭厦赛区,元宝暴暴,'11.9566
1192,京津东赛区,hw26608680,'12.0626
1193,上合赛区,workSpacePlus,'12.0635
1194,西北赛区,伞兵二号已就位,'12.1599
1195,成渝赛区,Sejuani,'12.2085
1196,京津东赛区,别浪,'12.244
1197,成渝赛区,Mars_Li,'12.2901
1198,成渝赛区,Ruabick,'12.3453
1199,京津东赛区,hope_pass,'12.3551
1200,西北赛区,hw91983105,'12.3951
1201,杭厦赛区,hw05094449,'12.4264
1202,杭厦赛区,tql,'12.4717
1203,粤港澳赛区,Zero_eclipse,'12.5982
1204,粤港澳赛区,小谷围一姐,'12.6641
1205,京津东赛区,wasaiboluoxia,'12.7123
1206,成渝赛区,hw02849838,'12.7187
1207,西北赛区,hxhxhxhxhxhxhxh,'12.7373
1208,粤港澳赛区,Gai-Lun,'12.7616
1209,京津东赛区,hw73360980,'12.7859
1210,西北赛区,chu8865,'12.7986
1211,京津东赛区,Sukri,'13.1635
1212,上合赛区,hw55538598,'13.2171
1213,成渝赛区,球球给我个SSSSP吧,'13.2712
1214,西北赛区,Zhiyuan_Ren,'13.3197
1215,杭厦赛区,小菜鸡,'13.3818
1216,粤港澳赛区,strawsuper,'13.4065
1217,杭厦赛区,hw68751712,'13.4623
1218,成渝赛区,hw66253132,'13.5164
1219,杭厦赛区,hw95033386,'13.6467
1220,成渝赛区,剪刀刺客,'13.6642
1221,上合赛区,改名要快,'13.6651
1222,成渝赛区,yling,'13.7742
1223,武长赛区,精神小伙,'13.9482
1224,武长赛区,超人小分队,'14.047
1225,上合赛区,hw43586472,'14.0841
1226,成渝赛区,xing xing xing3,'14.1334
1227,成渝赛区,hw77194857,'14.2915
1228,杭厦赛区,hw35680922,'14.4989
1229,京津东赛区,大赛截止时间,'14.5677
1230,成渝赛区,hw65146408,'14.5677
1231,成渝赛区,freyaa,'14.6135
1232,武长赛区,蓬松的头发淡黄的裙子,'14.7804
1233,西北赛区,hw64448957,'14.9501
1234,粤港澳赛区,EAGHINee,'14.9507
1235,江山赛区,hw82820570,'14.9565
1236,武长赛区,春田花花幼稚园,'14.9617
1237,江山赛区,hw16212834,'14.9884
1238,粤港澳赛区,canranboy,'15.0463
1239,西北赛区,吸烟有害健康,'15.1317
1240,成渝赛区,HFL123,'15.5134
1241,成渝赛区,成电少帮主,'15.8687
1242,杭厦赛区,LISICHENG_MS,'15.9308
1243,杭厦赛区,信用卡诈骗小组,'15.942
1244,西北赛区,xjtu_No.1,'16.0106
1245,京津东赛区,hw22771598,'16.1549
1246,海外赛区,hw14726154,'16.1842
1247,京津东赛区,花样划水,'16.3161
1248,杭厦赛区,手里的java不香了,'16.443
1249,成渝赛区,hw57490158,'16.4762
1250,武长赛区,hw76252019,'16.5187
1251,西北赛区,wzy9656,'16.5382
1252,西北赛区,hw51349677,'16.5428
1253,武长赛区,运气比较好,'16.6278
1254,成渝赛区,搬砖小队,'16.8853
1255,杭厦赛区,hw84417100,'16.954
1256,上合赛区,强哥郭老np,'17.5881
1257,西北赛区,hw_zzy1997,'17.7444
1258,杭厦赛区,Hm ,'17.8547
1259,西北赛区,hold on,'17.9412
1260,上合赛区,冲起来,'18.2415
1261,成渝赛区,我的名字,'18.4594
1262,粤港澳赛区,S_black,'19.1071
1263,上合赛区,zhangfeiyang,'19.1677
1264,西北赛区,春天花花幼儿园,'19.2511
1265,成渝赛区,nobody,'19.289
1266,西北赛区,hw01504280,'19.3373
1267,上合赛区,摸鱼吧！,'19.4758
1268,武长赛区,hw57664784,'19.5042
1269,杭厦赛区,元宝妈妈,'19.5174
1270,杭厦赛区,hw85700360,'19.5701
1271,成渝赛区,dfs,'19.7095
1272,西北赛区,hw_qiang,'19.7498
1273,上合赛区,daniel1210,'20.3501
1274,京津东赛区,阿木木zzz,'20.7558
1275,西北赛区,hw84049800,'20.9961
1276,武长赛区,cuber,'21.1984
1277,京津东赛区,Jiiang_Xin,'21.2589
1278,成渝赛区,litlettleTime,'21.4814
1279,西北赛区,CallmeMrgao,'21.5922
